,coef,std err,z,P>|z|,[0.025,0.975]
const,1259.3646,4.656000000000001,270.47900000000004,0.0,1250.239,1268.49
PC1,-109.0199,1.9709999999999999,-55.326,0.0,-112.882,-105.15799999999999
PC2,-35.1792,3.1519999999999997,-11.162,0.0,-41.356,-29.002
PC3,-31.7105,3.759,-8.437000000000001,0.0,-39.077,-24.344
PC38,-42.3855,7.002000000000001,-6.053,0.0,-56.11,-28.660999999999998
PC39,-45.7025,6.949,-6.577000000000001,0.0,-59.323,-32.083
PC45,-61.5091,10.523,-5.845,0.0,-82.133,-40.885
PC40,45.3727,8.437000000000001,5.377999999999999,0.0,28.836,61.909
PC43,47.7826,8.664,5.515,0.0,30.801,64.764
PC46,67.0445,16.194000000000003,4.14,0.0,35.306,98.78299999999999
PC8,-20.9759,3.992,-5.255,0.0,-28.8,-13.152000000000001
PC16,-21.6413,4.579,-4.726,0.0,-30.616999999999997,-12.665999999999999
PC4,-16.4255,3.199,-5.135,0.0,-22.695,-10.156
PC36,22.3239,5.235,4.263999999999999,0.0,12.062999999999999,32.584
PC17,-17.1901,4.522,-3.801,0.0,-26.054000000000002,-8.327
PC13,16.1252,4.532,3.5580000000000003,0.0,7.242000000000001,25.008000000000003
PC42,29.8915,8.804,3.395,0.001,12.635,47.148
PC14,13.5288,4.849,2.79,0.005,4.026,23.031999999999996
PC7,-11.5559,4.16,-2.778,0.005,-19.709,-3.403
PC41,22.6619,8.745,2.591,0.01,5.522,39.802
PC44,23.5198,11.325,2.077,0.038,1.3230000000000002,45.717
PC15,11.183,5.727,1.953,0.051,-0.040999999999999995,22.406999999999996
PC28,10.329,4.051,2.55,0.011000000000000001,2.3890000000000002,18.269000000000002
PC26,-8.3324,3.83,-2.176,0.03,-15.839,-0.826
PC10,7.9663,4.407,1.808,0.071,-0.6709999999999999,16.604
PC20,7.1471,3.9530000000000003,1.808,0.071,-0.601,14.895
PC35,-7.1756,0.9570000000000001,-7.497000000000001,0.0,-9.051,-5.3
PC24,7.0145,3.221,2.178,0.028999999999999998,0.7020000000000001,13.327
PC22,-6.7252,3.43,-1.9609999999999999,0.05,-13.448,-0.003
PC37,8.0468,6.144,1.31,0.19,-3.995,20.089000000000002
PC33,6.1074,6.486000000000001,0.9420000000000001,0.34600000000000003,-6.605,18.82
PC6,-5.2245,3.9139999999999997,-1.335,0.182,-12.895,2.4459999999999997
PC29,5.9474,3.975,1.496,0.135,-1.844,13.739
PC9,-4.7656,3.955,-1.205,0.228,-12.517000000000001,2.985
