,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,1259.3646,4.656000000000001,270.47900000000004,0.0,1250.208,1268.521
PC1,-109.0199,2.048,-53.22,0.0,-113.04799999999999,-104.991
PC2,-35.1792,2.995,-11.745,0.0,-41.07,-29.289
PC3,-31.7105,3.2110000000000003,-9.875,0.0,-38.025,-25.396
PC38,-42.3855,6.207999999999999,-6.827999999999999,0.0,-54.593,-30.178
PC39,-45.7025,7.061,-6.472,0.0,-59.589,-31.816
PC45,-61.5091,10.192,-6.035,0.0,-81.55199999999999,-41.466
PC40,45.3727,7.605,5.966,0.0,30.418000000000003,60.328
PC43,47.7826,9.005,5.306,0.0,30.073,65.492
PC46,67.0445,12.777000000000001,5.247000000000001,0.0,41.917,92.17200000000001
PC8,-20.9759,4.184,-5.013,0.0,-29.204,-12.748
PC16,-21.6413,4.587,-4.718,0.0,-30.660999999999998,-12.622
PC4,-16.4255,3.522,-4.664,0.0,-23.351999999999997,-9.499
PC36,22.3239,5.41,4.126,0.0,11.685,32.963
PC17,-17.1901,4.591,-3.7439999999999998,0.0,-26.218000000000004,-8.162
PC13,16.1252,4.5569999999999995,3.5380000000000003,0.0,7.162999999999999,25.087
PC42,29.8915,8.548,3.497,0.001,13.081,46.702
PC14,13.5288,4.57,2.96,0.003,4.541,22.517
PC7,-11.5559,4.018,-2.8760000000000003,0.004,-19.457,-3.655
PC41,22.6619,8.155,2.779,0.006,6.625,38.699
PC44,23.5198,9.387,2.505,0.013000000000000001,5.059,41.981
PC15,11.183,4.581,2.441,0.015,2.174,20.192
PC28,10.329,4.629,2.231,0.026000000000000002,1.226,19.432000000000002
PC26,-8.3324,4.618,-1.804,0.07200000000000001,-17.415,0.75
PC10,7.9663,4.436,1.796,0.073,-0.757,16.69
PC20,7.1471,4.604,1.5530000000000002,0.121,-1.906,16.2
PC35,-7.1756,4.648,-1.544,0.124,-16.317,1.965
PC24,7.0145,4.6160000000000005,1.52,0.129,-2.063,16.092
PC22,-6.7252,4.61,-1.459,0.145,-15.79,2.34
PC37,8.0468,5.6979999999999995,1.412,0.159,-3.159,19.253
PC33,6.1074,4.638,1.317,0.18899999999999997,-3.013,15.228
PC6,-5.2245,3.969,-1.3159999999999998,0.18899999999999997,-13.03,2.5810000000000004
PC29,5.9474,4.63,1.285,0.2,-3.158,15.052999999999999
PC9,-4.7656,4.382,-1.088,0.278,-13.383,3.8510000000000004
