,coef,std err,t,P>|t|,[0.025,0.975]
const,1259.3646,4.743,265.535,0.0,1250.036,1268.693
PC1,-109.0199,2.0869999999999997,-52.248000000000005,0.0,-113.124,-104.916
PC2,-35.1792,3.051,-11.53,0.0,-41.18,-29.178
PC3,-31.7105,3.2710000000000004,-9.695,0.0,-38.144,-25.276999999999997
PC4,-16.4255,3.5869999999999997,-4.579,0.0,-23.482,-9.369
PC5,3.2448,3.952,0.821,0.41200000000000003,-4.529,11.017999999999999
PC6,-5.2245,4.043,-1.2919999999999998,0.19699999999999998,-13.175999999999998,2.727
PC7,-11.5559,4.092,-2.824,0.005,-19.605,-3.5069999999999997
PC8,-20.9759,4.262,-4.922,0.0,-29.358,-12.593
PC9,-4.7656,4.463,-1.068,0.28600000000000003,-13.544,4.013
PC10,7.9663,4.518,1.7630000000000001,0.079,-0.9209999999999999,16.852999999999998
PC11,-0.0201,4.562,-0.004,0.996,-8.994,8.954
PC12,2.651,4.605,0.5760000000000001,0.565,-6.407,11.708
PC13,16.1252,4.6419999999999995,3.4739999999999998,0.001,6.995,25.256
PC14,13.5288,4.655,2.906,0.004,4.372,22.685
PC15,11.183,4.666,2.397,0.017,2.005,20.361
PC16,-21.6413,4.672,-4.632,0.0,-30.83,-12.452
PC17,-17.1901,4.676,-3.676,0.0,-26.388,-7.992999999999999
PC18,-1.8684,4.68,-0.39899999999999997,0.69,-11.073,7.336
PC19,-1.723,4.687,-0.368,0.713,-10.942,7.496
PC20,7.1471,4.689,1.524,0.128,-2.076,16.37
PC21,-2.2238,4.691,-0.474,0.636,-11.45,7.002000000000001
PC22,-6.7252,4.695,-1.432,0.153,-15.960999999999999,2.51
PC23,-2.4711,4.698,-0.526,0.599,-11.712,6.77
PC24,7.0145,4.702,1.492,0.13699999999999998,-2.233,16.262
PC25,1.4389,4.704,0.306,0.76,-7.813,10.69
PC26,-8.3324,4.704,-1.771,0.077,-17.585,0.92
PC27,-1.4403,4.709,-0.306,0.76,-10.703,7.8229999999999995
PC28,10.329,4.715,2.191,0.028999999999999998,1.055,19.602999999999998
PC29,5.9474,4.716,1.261,0.20800000000000002,-3.3289999999999997,15.222999999999999
PC30,-0.2244,4.718999999999999,-0.048,0.9620000000000001,-9.506,9.058
PC31,-0.302,4.72,-0.064,0.9490000000000001,-9.586,8.982000000000001
PC32,2.3478,4.723,0.49700000000000005,0.619,-6.942,11.637
PC33,6.1074,4.724,1.2930000000000001,0.19699999999999998,-3.1839999999999997,15.399000000000001
PC34,1.661,4.728,0.35100000000000003,0.726,-7.638999999999999,10.960999999999999
PC35,-7.1756,4.735,-1.515,0.131,-16.488,2.137
PC36,22.3239,5.511,4.051,0.0,11.485,33.163000000000004
PC37,8.0468,5.803999999999999,1.386,0.16699999999999998,-3.37,19.463
PC38,-42.3855,6.3229999999999995,-6.702999999999999,0.0,-54.821999999999996,-29.949
PC39,-45.7025,7.193,-6.354,0.0,-59.85,-31.555
PC40,45.3727,7.746,5.857,0.0,30.136999999999997,60.608999999999995
PC41,22.6619,8.307,2.728,0.006999999999999999,6.324,39.0
PC42,29.8915,8.707,3.4330000000000003,0.001,12.765,47.018
PC43,47.7826,9.173,5.209,0.0,29.741,65.824
PC44,23.5198,9.562000000000001,2.46,0.013999999999999999,4.712,42.327
PC45,-61.5091,10.382,-5.925,0.0,-81.928,-41.09
PC46,67.0445,13.015,5.151,0.0,41.445,92.64399999999999
PC47,-0.4788,17.359,-0.027999999999999997,0.978,-34.622,33.664
PC48,-4.1902,39.681999999999995,-0.106,0.9159999999999999,-82.23899999999999,73.859
PC49,39.138,52.915,0.74,0.46,-64.938,143.214
